Wallet,Referral YUZU,Creation YUZU,Completion YUZU,Total YUZU,
0x77e7eaeb57def1b31a4c01cb25e0e1f86dfc7eff,0,0,388,388,
0x517efc0bea4c6c5634598956b218ff4ffafdd82a,0,0,388,388,
0xf552bca7f0f16ac965e2fd57166ba4c84b3fb3f9,0,0,388,388,
0xa59a6888a58fc01d505f412e949fa010ab506802,0,0,388,388,
0x15f6ba3527bcffae619a82af30340fee62906800,0,0,388,388,
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,0,0,355,355,
0xdd543dc0efea305a4c595305c784166fbe87897b,0,0,355,355,
0xd04fb179c1cd232ab780f1c0c0f3e1dd698bd806,0,0,355,355,
0x8be797d9d93b27337089c225d393b5dd1f0edf99,0,0,355,355,
0x0085448000cd2740a7d74eacc1708c7d78f7a499,0,0,355,355,
0xf497f034ad1382090ff9c4817076fc87804f7402,0,0,320,320,
0xa8d032262775d08bb5f6d6e1cc7d2ac91bf7c2d3,0,0,320,320,
0x208c22774c018324a8f47521400457beba1fa7ac,0,0,320,320,
0x36d8511ebb718f8f3b8dc32c96ce615bef8c564a,0,0,320,320,
0x8ec68d0c8a08951382c01ce545315c2dbdc865c4,0,0,320,320,
0x4020f9c66f531923bc4cf17386473c9e668662b0,0,0,284,284,
0xc4342a78090d5f2340ad65d606f246d858f87abc,0,0,284,284,
0x65f465f0cd1c08e6740bd2e0b512c675668e51dd,0,0,284,284,
0xae5d32b6f9472385fa2df37b964b05100ee2fbf4,0,0,284,284,
0x4ddc5778a82ad9c716cf10bd666a5ad9fb840d0f,0,0,284,284,
0x6c492c42393e1561d690e0453ccb94f15def587d,0,0,284,284,
0xab7079945a6fb399b797153e3fb2815964867264,0,0,284,284,
0x0d18c17aef629f4ea57c6d1372695a7641204925,0,0,244,244,
0xddcae312d612bb67f9f7ced7de95e3400f4a478d,0,0,244,244,
0x2603ed9d3aaf90eb12dcf91befb4dc6f7b6306b6,0,0,244,244,
0xe6034e3335c3c438ea432649a0e2e9e8f42638ab,0,0,244,244,
0x2422775a9f57a1ac72f42c82c236f8a843616d47,0,0,244,244,
0x04a5c57feee5ecd578b50fba585245423d1a8418,0,0,244,244,
0x120f1645559bde5758ab5c897a19c79eabec21c9,0,0,244,244,
0xb51d4cdbdf0e8947a65ba06c69963c158eed346e,0,0,244,244,
0xa170b8ff927202ff823ef8c4f01d09ec3e304e85,0,0,244,244,
0xf0cfbe31a724efe1717fdf58bb9ef7fee8930e80,0,0,244,244,
0x5187b0a0ea26292c3b36cc4750268c150ab0403f,0,0,244,244,
0xeed0aa78b32fca412f567bf5df4113bcbe592bd9,0,0,244,244,
0x8459f6b6667f1d64d95c1bf4077512300a37f841,0,0,244,244,
0x7ef5cb1cb54bafd3520f44cbccc43fa5757ecc91,0,0,244,244,
0x052c1a5966ed9daa663ac1682d94aa9eb28e43eb,0,0,244,244,
0xc291452664c557f80e1e74304746c5749a363ac0,0,0,202,202,
0x4767873a4b0f28b22f627b8df6b939577d321db2,0,0,202,202,
0x55d4d0ca4622f0e606d276a6c19953e36629badc,0,0,202,202,
0x6fb4d189cb95b170b2dcf12b068cac5eef953507,0,0,202,202,
0x6981183707d181d28115c832f58e3bd420483088,0,0,202,202,
0x4e2bc908be594b0bf80f19bebc98157698388d3c,0,0,202,202,
0x0952460b918283830161ad2a738ef228c435e614,0,0,202,202,
0xe7689cffb2a5e08122922617959565fd8baadef4,0,0,202,202,
0xd68e011bfa9ff547a028731b048699c140cbf1cb,0,0,202,202,
0x88fcd0e1c86725df2d9399c7e4cc6f9e42ea3d3a,0,0,202,202,
